Camera Location,Quadrant,Camera URL,longitude,latitude,col,row,grid_cell
Stoney Trail / Deerfoot Trail SE,SE,http://trafficcam.calgary.ca/loc86.jpg,-113.97660631022806,50.90072571246784,8,2,2 -- 8
Memorial Drive / 52 Street E,NE,http://trafficcam.calgary.ca/loc3.jpg,-113.95581817525273,51.05325298171986,8,6,6 -- 8
Crowchild Trail / Shaganappi Trail NW,NW,http://trafficcam.calgary.ca/loc37.jpg,-114.1493789546495,51.09884942279791,4,7,7 -- 4
Crowchild Trail / Sarcee Trail NW,NW,http://trafficcam.calgary.ca/loc126.jpg,-114.17820422214878,51.11125512340146,4,8,8 -- 4
Airport Trail / Barlow Trail NE,NE,http://trafficcam.calgary.ca/loc114.jpg,-114.00145069624071,51.13935244575022,7,9,9 -- 7
24 Avenue / Crowchild Trail NW,NW,http://trafficcam.calgary.ca/loc16.jpg,-114.11821945530859,51.07418936914174,5,7,7 -- 5
50 Avenue / 52 Street SE,SE,http://trafficcam.calgary.ca/loc21.jpg,-113.95842201782752,51.008880225715764,8,5,5 -- 8
11 Avenue / Macleod Trail S,SE,http://trafficcam.calgary.ca/loc34.jpg,-114.05835236417742,51.042248012620966,6,6,6 -- 6
Memorial Drive / 9 Street NW,NW,http://trafficcam.calgary.ca/loc59.jpg,-114.08118076450418,51.05362590158347,6,6,6 -- 6
Country Hills Blvd / Royal Birch Blvd NW,NW,http://trafficcam.calgary.ca/loc78.jpg,-114.21305656446863,51.14985314410075,3,9,9 -- 3
Memorial Drive / Deerfoot Trail SE,SE,http://trafficcam.calgary.ca/loc17.jpg,-114.0181691162293,51.04785215121169,7,6,6 -- 7
16 Avenue / Deerfoot Trail NE,NE,http://trafficcam.calgary.ca/loc50.jpg,-114.02813590634035,51.06728602706002,7,7,7 -- 7
5 Avenue / 1 Street SE,SE,http://trafficcam.calgary.ca/loc36.jpg,-114.06038617243854,51.0483314104326,6,6,6 -- 6
Stoney Trail / Deerfoot Trail NE,NE,http://trafficcam.calgary.ca/loc84.jpg,-114.00138489284952,51.17520856108407,7,9,9 -- 7
Glenmore Trail / Macleod Trail S (West),SW/SE,http://trafficcam.calgary.ca/loc27.jpg,-114.07155102677936,50.99391748682024,6,5,5 -- 6
Memorial Drive / 12 Street NE,NE,http://trafficcam.calgary.ca/loc102.jpg,-114.03236679885201,51.048246068121344,7,6,6 -- 7
Stoney Trail / 52 Street SE,SE,http://trafficcam.calgary.ca/loc7.jpg,-113.95374656410088,50.90401834170704,8,2,2 -- 8
Glenmore Trail / Crowchild Trail SW,SW,http://trafficcam.calgary.ca/loc15.jpg,-114.1180484439263,51.0000378688273,5,5,5 -- 5
