grid_cell,Avg Speed Limit,Avg Volume,# of Cameras,# of Signals,# of Incidents,Regulatory,Parking Restrictions,Timed Parking,Warning,Park Plus,Pedestrian,Street Name,Yield,Stop,Snow Route,Guide / Information,Bicycle / Pathway,Disabled Parking,Loading Zone,Playground,Residential Parking,Overhead Guide,Speed,Hospital,School,Halo
1 -- 1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 -- 2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 -- 3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 -- 4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 -- 5,,2000.0,0.0,0.0,0.0,5.0,10.0,2.0,9.0,3.0,1.0,7.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0
1 -- 6,63.0,2509.0,1.0,1.0,7.0,33.0,55.0,16.0,25.0,7.0,18.0,57.0,13.0,19.0,7.0,8.0,6.0,11.0,6.0,10.0,5.0,0.0,4.0,0.0,2.0,0.0
1 -- 7,67.0,11915.0,1.0,5.0,17.0,174.0,246.0,67.0,138.0,27.0,68.0,315.0,64.0,76.0,18.0,51.0,25.0,26.0,15.0,85.0,33.0,4.0,39.0,0.0,13.0,0.0
1 -- 8,54.0,17805.0,0.0,7.0,13.0,88.0,129.0,46.0,71.0,19.0,30.0,147.0,27.0,39.0,17.0,28.0,13.0,19.0,10.0,33.0,20.0,0.0,9.0,0.0,7.0,0.0
1 -- 9,,0.0,0.0,0.0,0.0,3.0,6.0,4.0,1.0,0.0,0.0,6.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1 -- 10,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2 -- 1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 -- 2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 -- 3,48.0,12353.0,0.0,0.0,1.0,10.0,11.0,11.0,6.0,1.0,9.0,20.0,3.0,1.0,0.0,6.0,1.0,2.0,2.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0
2 -- 4,59.0,14359.0,0.0,0.0,6.0,30.0,34.0,14.0,27.0,5.0,11.0,45.0,13.0,10.0,2.0,10.0,7.0,7.0,1.0,17.0,4.0,0.0,2.0,0.0,2.0,0.0
2 -- 5,62.0,12285.0,0.0,16.0,50.0,266.0,406.0,133.0,208.0,42.0,105.0,530.0,111.0,137.0,28.0,82.0,39.0,52.0,26.0,111.0,65.0,3.0,40.0,2.0,21.0,0.0
2 -- 6,69.0,19579.0,3.0,33.0,111.0,439.0,620.0,191.0,355.0,80.0,183.0,808.0,171.0,219.0,53.0,136.0,75.0,81.0,49.0,197.0,112.0,8.0,78.0,3.0,35.0,0.0
2 -- 7,65.0,27661.0,1.0,6.0,27.0,182.0,209.0,77.0,121.0,39.0,64.0,326.0,67.0,94.0,17.0,60.0,26.0,24.0,14.0,73.0,31.0,7.0,38.0,0.0,18.0,1.0
2 -- 8,68.0,23422.0,2.0,17.0,104.0,388.0,574.0,182.0,315.0,58.0,151.0,699.0,169.0,212.0,44.0,132.0,78.0,48.0,43.0,170.0,88.0,9.0,79.0,1.0,37.0,0.0
2 -- 9,71.0,21130.0,1.0,10.0,35.0,270.0,419.0,119.0,230.0,47.0,90.0,508.0,110.0,141.0,32.0,89.0,40.0,56.0,25.0,106.0,60.0,5.0,46.0,2.0,24.0,0.0
2 -- 10,70.0,9000.0,0.0,0.0,2.0,10.0,13.0,8.0,4.0,1.0,1.0,16.0,3.0,2.0,0.0,1.0,2.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0
3 -- 1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 -- 2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 -- 3,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 -- 4,71.0,10876.0,0.0,0.0,9.0,56.0,60.0,15.0,30.0,8.0,21.0,79.0,25.0,23.0,4.0,15.0,10.0,8.0,4.0,27.0,19.0,0.0,7.0,0.0,6.0,0.0
3 -- 5,66.0,14508.0,0.0,13.0,46.0,293.0,467.0,143.0,240.0,52.0,120.0,552.0,138.0,155.0,38.0,107.0,41.0,46.0,28.0,119.0,75.0,6.0,54.0,1.0,23.0,0.0
3 -- 6,63.0,31692.0,5.0,34.0,154.0,385.0,567.0,152.0,303.0,70.0,163.0,730.0,136.0,217.0,52.0,140.0,79.0,46.0,38.0,157.0,85.0,12.0,74.0,5.0,27.0,0.0
