Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Time,Temp (C),Temp Flag,Dew Point Temp (C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather,# of Incidents
-114.01,51.12,CALGARY INTL A,3031092,2018-01-01 00:00:00,2018,1,1,00:00,-28.1,,-31.4,,74.0,,36.0,,1.0,,24.1,,89.94,,,,-29.0,,,0
-114.01,51.12,CALGARY INTL A,3031092,2018-01-01 01:00:00,2018,1,1,01:00,-28.6,,-32.0,,73.0,,36.0,,1.0,,24.1,,89.95,,,,-30.0,,,0
-114.01,51.12,CALGARY INTL A,3031092,2018-01-01 02:00:00,2018,1,1,02:00,-29.1,,-32.7,,72.0,,36.0,,3.0,,24.1,,89.95,,,,-32.0,,Mainly Clear,0
-114.01,51.12,CALGARY INTL A,3031092,2018-01-01 03:00:00,2018,1,1,03:00,-30.0,,-33.6,,71.0,,36.0,,2.0,,24.1,,89.93,,,,-32.0,,,0
-114.01,51.12,CALGARY INTL A,3031092,2018-01-01 04:00:00,2018,1,1,04:00,-27.6,,-30.9,,74.0,,18.0,,3.0,,24.1,,89.92,,,,-31.0,,,0
-114.01,51.12,CALGARY INTL A,3031092,2018-01-01 05:00:00,2018,1,1,05:00,-27.1,,-30.4,,74.0,,9.0,,4.0,,24.1,,89.89,,,,-31.0,,Clear,0
-114.01,51.12,CALGARY INTL A,3031092,2018-01-01 06:00:00,2018,1,1,06:00,-26.6,,-29.9,,74.0,,36.0,,2.0,,24.1,,89.89,,,,-29.0,,,0
-114.01,51.12,CALGARY INTL A,3031092,2018-01-01 07:00:00,2018,1,1,07:00,-22.7,,-25.7,,77.0,,22.0,,6.0,,24.1,,89.88,,,,-28.0,,,2
-114.01,51.12,CALGARY INTL A,3031092,2018-01-01 08:00:00,2018,1,1,08:00,-22.3,,-25.3,,77.0,,22.0,,9.0,,64.4,,89.83,,,,-29.0,,Clear,0
-114.01,51.12,CALGARY INTL A,3031092,2018-01-01 09:00:00,2018,1,1,09:00,-19.8,,-22.6,,79.0,,21.0,,9.0,,64.4,,89.81,,,,-27.0,,,0
-114.01,51.12,CALGARY INTL A,3031092,2018-01-01 10:00:00,2018,1,1,10:00,-18.0,,-20.6,,80.0,,22.0,,16.0,,64.4,,89.78,,,,-27.0,,,3
-114.01,51.12,CALGARY INTL A,3031092,2018-01-01 11:00:00,2018,1,1,11:00,-16.4,,-18.9,,81.0,,21.0,,12.0,,64.4,,89.75,,,,-24.0,,Clear,1
-114.01,51.12,CALGARY INTL A,3031092,2018-01-01 12:00:00,2018,1,1,12:00,-14.5,,-20.0,,63.0,,21.0,,10.0,,64.4,,89.68,,,,-21.0,,,2
-114.01,51.12,CALGARY INTL A,3031092,2018-01-01 13:00:00,2018,1,1,13:00,-13.1,,-19.2,,60.0,,20.0,,12.0,,64.4,,89.59,,,,-20.0,,,0
-114.01,51.12,CALGARY INTL A,3031092,2018-01-01 14:00:00,2018,1,1,14:00,-11.1,,-17.6,,59.0,,21.0,,14.0,,64.4,,89.52,,,,-18.0,,Mainly Clear,0
